|[1, 0]1|,1,0,0,,3
[9]2,1,0,-0.0625,,0
[10]2,0,0,0,,0
[12]2,0,0,0,,0
|[1, 2]1|,0,0,0,,0
|[1, 3]1|,0,0,0,,0
|[1, 4]1|,0,0,0,,0
|[1, 5]1|,0,0,0,,0
[2]1,0,0,0,,0
[3]1,0,0,0,,0
|[4, 0]1|,0,0,0,,0
|[4, 1, 0]1|,0,0,0,,0
|[4, 1, 2]1|,0,0,0,,0
|[4, 1, 3]1|,0,0,0,,0
|[4, 1, 4]1|,0,0,0,,0
|[4, 1, 5]1|,0,0,0,,0
|[4, 2]1|,0,0,0,,0
|[4, 3]1|,0,0,0,,0
|[4, 5]1|,1,0,0,,0
[5]1,0,0,0,,0
[9]2,4,0,-0.16666666666666666,,18
[0]1,1,0,0,,4
[8]2,0,0,0,,0
[10]2,1,0,-0.16666666666666666,,0
[11]2,0,0,0,,0
[12]2,0,0,0,,0
|[1, 0]1|,1,0,0,,3
[8]2,0,0,0,,0
[10]2,1,0,-0.14583333333333334,,0
[12]2,0,0,0,,0
|[1, 2]1|,1,0,0,,4
[8]2,0,0,0,,0
[10]2,0,0,0,,0
[11]2,1,0,-0.1875,,0
[12]2,0,0,0,,0
|[1, 3]1|,0,0,0,,0
|[1, 4]1|,0,0,0,,0
|[1, 5]1|,0,0,0,,0
[2]1,0,0,0,,0
[3]1,0,0,0,,0
|[4, 0]1|,1,0,0,,0
|[4, 1, 0]1|,0,0,0,,0
|[4, 1, 2]1|,0,0,0,,0
|[4, 1, 3]1|,0,0,0,,0
|[4, 1, 4]1|,0,0,0,,0
|[4, 1, 5]1|,0,0,0,,0
|[4, 2]1|,0,0,0,,0
|[4, 3]1|,0,0,0,,0
|[4, 5]1|,0,0,0,,0
[5]1,0,0,0,,0
[10]2,4,0,-0.036458333333333336,,10
[0]1,1,0,0,,0
[1]1,1,0,0,,5
[7]2,0,0,0,,0
[8]2,1,0,0.020833333333333332,,0
[9]2,0,0,0,,0
[11]2,0,0,0,,0
[12]2,0,0,0,,0
[2]1,1,0,0,,4
[8]2,0,0,0,,0
[9]2,0,0,0,,0
[11]2,1,0,-0.041666666666666664,,0
[12]2,0,0,0,,0
[3]1,1,0,0,,5
[7]2,1,0,-0.10416666666666667,,0
[8]2,0,0,0,,0
[9]2,0,0,0,,0
[11]2,0,0,0,,0
[12]2,0,0,0,,0
|[4, 0]1|,0,0,0,,0
|[4, 1]1|,0,0,0,,0
|[4, 2]1|,0,0,0,,0
|[4, 3]1|,0,0,0,,0
|[4, 5]1|,0,0,0,,0
[5]1,0,0,0,,0
[11]2,5,0,-0.008333333333333335,,10
[0]1,1,0,0,,4
[8]2,0,0,0,,0
[9]2,1,0,0.041666666666666664,,0
[10]2,0,0,0,,0
[12]2,0,0,0,,0
[1]1,1,0,0,,5
[7]2,0,0,0,,0
[8]2,0,0,0,,0
[9]2,0,0,0,,0
